mechanism,missing_rate,repetition,method,term,estimate,std.error,conf.low,conf.high,true_estimate,bias,ci_width,ci_cover
MAR,0.3,4,complete_case,age,0.017931468129122528,0.004597464927540682,0.008840297483911484,0.02702263877433357,0.01753512986073419,3.963382683883389e-4,0.018182341290422087,1
MAR,0.3,4,complete_case,bmi,0.023468260293611373,0.01231089882208663,-8.756952887505609e-4,0.047812215875973306,0.02897241650381511,-0.005504156210203736,0.04868791116472387,1
MAR,0.3,4,complete_case,income_ratio,-0.04603837108001784,0.04246341675047451,-0.13000685674365553,0.03793011458361984,-0.05343704488580892,0.007398673805791081,0.16793697132727536,1
MAR,0.3,4,complete_case,sexFemale,-0.29035950516488296,0.1443445723487384,-0.5757909678545525,-0.0049280424752134455,-0.09307566573776974,-0.19728383942711322,0.5708629253793391,1
MAR,0.3,4,complete_case,smoking_statusYes,-0.2114219573565079,0.1568153816278205,-0.5215135875573766,0.09866967284436082,-0.022120133000263893,-0.18930182435624401,0.6201832604017374,1
MAR,0.3,4,complete_case,systolic_bp,-4.981327072852419e-4,0.0036753859969867967,-0.007765955695007299,0.006769690280436815,0.0020175183065907756,-0.0025156510138760173,0.014535645975444114,1
MAR,0.3,5,complete_case,(Intercept),4.649694185992988,0.6133136889283316,3.4368290910416572,5.862559280944319,4.0349672958498015,0.6147268901431868,2.425730189902662,1
MAR,0.3,5,complete_case,age,0.012004172637669959,0.005462541791210711,0.0012016642510577179,0.0228066810242822,0.01753512986073419,-0.00553095722306423,0.021605016773224482,1
MAR,0.3,5,complete_case,bmi,0.00953114179726882,0.011421614693355328,-0.013055795425279782,0.03211807901981742,0.02897241650381511,-0.019441274706546288,0.0451738744450972,1
MAR,0.3,5,complete_case,income_ratio,-0.07669481172166769,0.04868779891694818,-0.17297789315681256,0.019588269713477185,-0.05343704488580892,-0.023257766835858763,0.19256616287028974,1
MAR,0.3,5,complete_case,sexFemale,0.1103037829062998,0.15430611741147832,-0.19484594246973605,0.4154535082823356,-0.09307566573776974,0.20337944864406954,0.6102994507520717,1
MAR,0.3,5,complete_case,smoking_statusYes,-0.16812359818364037,0.15857713062275944,-0.4817195117624708,0.14547231539519007,-0.022120133000263893,-0.14600346518337648,0.6271918271576609,1
MAR,0.3,5,complete_case,systolic_bp,0.00310333910710885,0.004927663045655538,-0.006641414052078437,0.012848092266296136,0.0020175183065907756,0.0010858208005180745,0.019489506318374573,1
MAR,0.3,6,complete_case,(Intercept),4.404535572233591,0.6388212964560323,3.1405184946804345,5.668552649786748,4.0349672958498015,0.36956827638378975,2.5280341551063135,1
MAR,0.3,6,complete_case,age,0.025440626949551154,0.005282724722477278,0.014987853533467764,0.03589340036563454,0.01753512986073419,0.007905497088816965,0.020905546832166777,1
MAR,0.3,6,complete_case,bmi,0.01523507808485603,0.013741610142709767,-0.011955045334359546,0.04242520150407161,0.02897241650381511,-0.01373733841895908,0.05438024683843115,1
MAR,0.3,6,complete_case,income_ratio,-0.01414432841310561,0.04439764188610581,-0.1019926482146819,0.07370399138847067,-0.05343704488580892,0.03929271647270331,0.17569663960315257,1
MAR,0.3,6,complete_case,sexFemale,0.06285398783407171,0.14815831032516902,-0.23030254196756633,0.35601051763570973,-0.09307566573776974,0.15592965357184146,0.5863130596032761,1
MAR,0.3,6,complete_case,smoking_statusYes,0.2677656110218086,0.15354578084303694,-0.03605094964789529,0.5715821716915126,-0.022120133000263893,0.2898857440220725,0.60763312133940794,1
