method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
complete_case,MAR,0.3,smoking_statusYes,-0.036056342143231335,0.23765812610686218,0.15853817257598815,0.875,0.6272415687316395,8
knn,MAR,0.3,smoking_statusYes,-0.07736721754423967,0.07326088502449168,0.07325955140616683,0.75,0.2875226176283077,8
mean_mode,MAR,0.3,smoking_statusYes,-0.06045759317200013,0.03137348241272189,0.07485710311593949,1,0.29379254749511474,8
mice,MAR,0.3,smoking_statusYes,-0.10221853324783688,0.04495721839489106,0.09380693579012633,1,0.38229376042168284,8
missforest,MAR,0.3,smoking_statusYes,-0.07146081611462438,0.04571326815424978,0.07321751376435619,1,0.28735763200417647,8
complete_case,MCAR,0.1,smoking_statusYes,-0.08377152257844805,0.08402276149952792,0.09907771641772899,0.875,0.3892908247454244,8
knn,MCAR,0.1,smoking_statusYes,-0.06927730224280737,0.04762239489995237,0.07013620910589363,1,0.27526439959821236,8
mean_mode,MCAR,0.1,smoking_statusYes,-0.05057060966137595,0.05280714094076727,0.069769680159622,1,0.2738258791589554,8
mice,MCAR,0.1,smoking_statusYes,-0.06735646914942295,0.04656256533673285,0.07334336084634294,1,0.2886029501839552,8
missforest,MCAR,0.1,smoking_statusYes,-0.07297648158270742,0.04304937825160386,0.07019701681365649,0.875,0.27550305231956224,8
complete_case,MCAR,0.2,smoking_statusYes,-0.052628839847389614,0.13832910269777002,0.13323995018617496,0.875,0.5247700468924508,8
knn,MCAR,0.2,smoking_statusYes,-0.02758652348395508,0.044701170757905084,0.07159295123301887,1,0.2809816924502843,8
mean_mode,MCAR,0.2,smoking_statusYes,-0.02992547829384581,0.026317503223387426,0.07186698229883211,1,0.2820571853770328,8
mice,MCAR,0.2,smoking_statusYes,-0.06685700498854488,0.049515426365583405,0.07831577022919632,1,0.31031224688253034,8
missforest,MCAR,0.2,smoking_statusYes,-0.06886601630598084,0.04428912073223501,0.071168236364932,0.875,0.2793148090436284,8
complete_case,MCAR,0.3,smoking_statusYes,-0.03887787954640632,0.14441014286624895,0.227143677272587,1,0.900502217547862,8
knn,MCAR,0.3,smoking_statusYes,-0.02901229500864601,0.061578150271844385,0.07493493726939446,1,0.29409802410686986,8
mean_mode,MCAR,0.3,smoking_statusYes,0.016473585768629385,0.0651639388600756,0.07458593587690875,1,0.29272829426281066,8
mice,MCAR,0.3,smoking_statusYes,-0.030612916297347907,0.05388515419956207,0.09083564412806604,1,0.36717900365750994,8
missforest,MCAR,0.3,smoking_statusYes,-0.06444712506357127,0.06679190924785294,0.0741410632249623,0.875,0.290982297366246,8
complete_case,MAR,0.1,systolic_bp,-6.065284296685756e-4,0.0029218476541237734,0.0024864045370755054,1,0.009768584847382376,8
knn,MAR,0.1,systolic_bp,0.0013415734681520206,4.919795328529914e-4,0.0020085143206038784,1,0.007882839628681606,8
mean_mode,MAR,0.1,systolic_bp,0.0018728003810686523,7.594654406844237e-4,0.001990323228938408,1,0.007811444838612878,8
mice,MAR,0.1,systolic_bp,8.73480037078626e-4,0.001139603256777366,0.002225497414306425,1,0.008853757436703446,8
missforest,MAR,0.1,systolic_bp,8.00015959078258e-4,9.490690612086518e-4,0.0020389192783743723,1,0.008002170321802867,8
complete_case,MAR,0.2,systolic_bp,-0.0015661407746913475,0.002589718233782715,0.0037470450172178847,1,0.014751353422544067,8
